t, ni, rep, g, s, ph, d, rank, p, fitness, extra, genes, DateTime, mil
00:00:00:00.195, 00:00:00:00.000, 0, 61, 0.3128205, R, 1.00e+00, 3, 0.00000000000000000, 9.10000000000000000e+01, , 1111 1111 1111 0111 0011 1111 1111 1111 1101 1111 1111 1111 1111 1111 0111 1111 1111 1111 1111 1011 0111 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 195
00:00:00:00.204, 00:00:00:00.003, 0, 78, 0.3823529, M, 1.00e+00, 1, 0.01000000000000000, 9.20000000000000000e+01, , 1111 1111 1111 0111 0011 1111 1111 1111 1101 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1011 0111 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 204
00:00:00:00.213, 00:00:00:00.006, 0, 106, 0.4976526, M, 3.00e+00, 4, 0.06308198707939691, 9.30000000000000000e+01, , 1111 1111 1111 0111 0011 1111 1111 1111 1101 1111 1111 0111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 213
00:00:00:00.217, 00:00:00:00.000, 0, 107, 0.4930876, R, 1.00e+00, 2, 0.00000000000000000, 9.40000000000000000e+01, , 1111 1111 1111 0111 0011 1111 1111 1111 1101 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 0111, Mon Apr 27 20:17:48 CST 2026, 217
00:00:00:00.239, 00:00:00:00.017, 0, 201, 0.8410042, R, 1.00e+00, 4, 0.00000000000000000, 9.50000000000000000e+01, , 1111 1111 1111 0111 0011 1111 1111 1111 1101 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111, Mon Apr 27 20:17:48 CST 2026, 239
00:00:00:00.249, 00:00:00:00.002, 0, 217, 0.8714859, R, 1.00e+00, 2, 0.00000000000000000, 9.60000000000000000e+01, , 1111 1111 1111 0111 1011 1111 1111 1111 1101 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111, Mon Apr 27 20:17:48 CST 2026, 249
00:00:00:00.257, 00:00:00:00.003, 0, 248, 0.9649805, M, 1.00e+00, 2, 0.02511612770301124, 9.70000000000000000e+01, , 1111 1111 1111 1111 1011 1111 1111 1111 1101 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111, Mon Apr 27 20:17:48 CST 2026, 257
00:00:00:00.272, 00:00:00:00.009, 0, 307, 1.1286764, R, 1.00e+00, 3, 0.00000000000000000, 9.80000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1101 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111, Mon Apr 27 20:17:48 CST 2026, 272
00:00:00:00.284, 00:00:00:00.005, 0, 315, 1.1091549, R, 1.00e+00, 5, 0.00000000000000000, 9.90000000000000000e+01, , 1111 1111 1111 1111 1111 1111 1111 1111 1101 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 284
00:00:00:00.341, 00:00:00:00.053, 0, 769, 2.2551320, R, 1.00e+00, 10, 0.00000000000000000, 1.00000000000000000e+02, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 341
00:00:00:00.348, 00:00:00:00.000, 0, 771, 2.2155173, L, 0.00e+00, 0, 0.00000000000000000, 1.00000000000000000e+02, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 348
00:00:00:00.001, 00:00:00:00.000, 1, 1, 1.0000000, S, 0.00e+00, 0, 0.00000000000000000, 6.00000000000000000e+01, , 1000 0001 0010 0011 1100 1100 1111 1100 1101 1111 1100 0101 1010 0101 1011 1101 1111 1111 1111 1001 1010 1110 1000 0001 1110, Mon Apr 27 20:17:48 CST 2026, 1
00:00:00:00.009, 00:00:00:00.008, 1, 1, 0.1111111, R, 4.10e+01, 8, 0.00000000000000000, 6.30000000000000000e+01, , 1100 0001 0111 1010 0100 1011 0101 1100 1111 1111 1111 0111 0111 1011 1000 1100 1000 1101 1100 1110 1111 0110 0000 1111 1111, Mon Apr 27 20:17:48 CST 2026, 9
00:00:00:00.015, 00:00:00:00.000, 1, 2, 0.1333333, M, 5.20e+01, 4, 0.06308198707939691, 6.70000000000000000e+01, , 0011 1101 0100 0111 1110 1101 1101 0111 1111 1001 1010 1111 0001 1111 1101 0101 0111 1010 0101 0111 0111 1011 1101 0111 1001, Mon Apr 27 20:17:48 CST 2026, 15
00:00:00:00.021, 00:00:00:00.001, 1, 5, 0.2380952, R, 1.30e+01, 3, 0.00000000000000000, 7.00000000000000000e+01, , 1001 0101 0101 0111 1110 1101 1101 0111 1111 1111 1110 1111 0001 1011 1100 1101 0111 1010 0101 0111 0111 1011 1100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 21
00:00:00:00.026, 00:00:00:00.000, 1, 7, 0.2692308, R, 6.00e+00, 2, 0.00000000000000000, 7.20000000000000000e+01, , 1111 0101 0101 0111 1110 1101 1101 0111 1111 1111 1110 1111 0001 1111 1100 1101 0111 1110 0001 0111 0111 1011 0100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 26
00:00:00:00.032, 00:00:00:00.001, 1, 10, 0.3125000, M, 5.00e+00, 2, 0.02511612770301124, 7.30000000000000000e+01, , 1101 0101 0101 0111 1110 1101 1101 0111 1111 1111 1110 1111 0001 1111 1100 1101 0111 1010 0101 1111 0111 1011 1100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 32
00:00:00:00.038, 00:00:00:00.000, 1, 11, 0.2894737, R, 1.00e+00, 2, 0.00000000000000000, 7.40000000000000000e+01, , 1101 0101 0101 0111 1110 1101 1101 0111 1111 1111 1110 1111 0001 1111 1100 1101 0111 1110 0101 1111 0111 1011 1100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 38
00:00:00:00.045, 00:00:00:00.001, 1, 17, 0.3777778, R, 3.00e+00, 2, 0.00000000000000000, 7.50000000000000000e+01, , 1101 0101 0101 0111 1110 1101 1101 1111 0111 1111 1110 1111 0001 1111 1100 1101 0111 1110 0111 1111 0111 1011 1100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 45
00:00:00:00.050, 00:00:00:00.000, 1, 19, 0.3800000, R, 1.00e+00, 2, 0.00000000000000000, 7.60000000000000000e+01, , 1101 0101 0101 0111 1110 1101 1101 1111 1111 1111 1110 1111 0001 1111 1100 1101 0111 1110 0111 1111 0111 1011 1100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 50
00:00:00:00.061, 00:00:00:00.001, 1, 22, 0.3606557, M, 2.00e+00, 1, 0.01000000000000000, 7.80000000000000000e+01, , 1101 0101 0101 0111 1110 1101 1101 1111 1111 1111 1110 1111 1101 1111 1100 1101 0111 1110 0111 1111 0111 1011 1100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 61
00:00:00:00.066, 00:00:00:00.000, 1, 25, 0.3787879, R, 3.00e+00, 2, 0.00000000000000000, 7.90000000000000000e+01, , 1101 1101 0101 0111 1110 1101 1101 1111 1111 1111 1111 1111 1101 1111 1100 1101 0111 1110 0111 1101 0111 1011 1100 1111 1101, Mon Apr 27 20:17:48 CST 2026, 66
00:00:00:00.071, 00:00:00:00.001, 1, 27, 0.3802817, R, 2.00e+01, 15, 0.00000000000000000, 8.10000000000000000e+01, , 1111 1101 0111 0111 1111 1101 1011 1101 1111 1111 1111 1110 0111 0111 0110 1101 1101 1110 1111 1110 0111 1011 1110 1011 1111, Mon Apr 27 20:17:48 CST 2026, 71
00:00:00:00.076, 00:00:00:00.000, 1, 29, 0.3815790, R, 8.00e+00, 2, 0.00000000000000000, 8.30000000000000000e+01, , 1111 1101 0111 0111 1111 1101 1011 1111 1111 1111 1111 1111 1111 0111 1100 1101 1111 1110 1111 1100 0111 1011 1100 1011 1111, Mon Apr 27 20:17:48 CST 2026, 76
00:00:00:00.083, 00:00:00:00.000, 1, 31, 0.3734940, R, 7.00e+00, 3, 0.00000000000000000, 8.60000000000000000e+01, , 1111 1101 0111 0111 1111 1101 1011 1111 1111 1111 1111 1111 0111 0011 1110 1111 1111 1110 1111 1110 0111 1111 1110 1011 1111, Mon Apr 27 20:17:48 CST 2026, 83
00:00:00:00.093, 00:00:00:00.001, 1, 36, 0.3870968, M, 1.00e+00, 1, 0.01000000000000000, 8.70000000000000000e+01, , 1111 1111 0111 0111 1111 1101 1011 1111 1111 1111 1111 1111 0111 0011 1110 1111 1111 1110 1111 1110 0111 1111 1110 1011 1111, Mon Apr 27 20:17:48 CST 2026, 93
00:00:00:00.098, 00:00:00:00.001, 1, 42, 0.4285714, M, 2.00e+00, 2, 0.02511612770301124, 8.90000000000000000e+01, , 1111 1111 0111 0111 1111 1101 1011 1111 1111 1111 1111 1111 0111 0011 1111 1111 1111 1110 1111 1110 0111 1111 1110 1111 1111, Mon Apr 27 20:17:48 CST 2026, 98
00:00:00:00.103, 00:00:00:00.001, 1, 47, 0.4563107, R, 3.00e+00, 3, 0.00000000000000000, 9.00000000000000000e+01, , 1111 1111 0111 0111 1111 1111 1001 1111 1111 1111 1111 1111 0111 1011 1111 1111 1111 1110 1111 1110 0111 1111 1110 1111 1111, Mon Apr 27 20:17:48 CST 2026, 103
00:00:00:00.109, 00:00:00:00.001, 1, 50, 0.4587156, M, 3.00e+00, 2, 0.02511612770301124, 9.10000000000000000e+01, , 1111 1111 0111 0111 1111 1111 1011 1111 1111 1111 0111 1111 0111 1011 1111 1111 1111 1110 1111 1110 1111 1111 1110 1111 1111, Mon Apr 27 20:17:48 CST 2026, 109
00:00:00:00.116, 00:00:00:00.002, 1, 61, 0.5258621, R, 1.00e+00, 2, 0.00000000000000000, 9.20000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1011 1111 1111 1111 0111 1111 0111 1011 1111 1111 1111 1110 1111 1110 1111 1111 1110 1111 1111, Mon Apr 27 20:17:48 CST 2026, 116
00:00:00:00.122, 00:00:00:00.000, 1, 66, 0.5409836, M, 3.00e+00, 4, 0.06308198707939691, 9.30000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1110 1111 1111 1111 0111 1111 0111 1011 1111 1111 1111 1110 1111 1110 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 122
00:00:00:00.129, 00:00:00:00.001, 1, 73, 0.5658914, R, 1.00e+00, 4, 0.00000000000000000, 9.40000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1110 1111 1111 1111 1111 1111 0111 1011 1111 1111 1111 1110 1111 1110 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 129
00:00:00:00.136, 00:00:00:00.002, 1, 104, 0.7647059, M, 1.00e+00, 2, 0.02511612770301124, 9.50000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1110 1111 1111 1111 1111 1111 1111 1011 1111 1111 1111 1110 1111 1110 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 136
00:00:00:00.148, 00:00:00:00.005, 1, 135, 0.9121622, R, 1.00e+00, 3, 0.00000000000000000, 9.60000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1110 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111 1110 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 148
00:00:00:00.157, 00:00:00:00.004, 1, 165, 1.0509554, R, 1.00e+00, 3, 0.00000000000000000, 9.70000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111 1110 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 157
00:00:00:00.176, 00:00:00:00.014, 1, 327, 1.8579545, R, 1.00e+00, 9, 0.00000000000000000, 9.80000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1110 1111 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 176
00:00:00:00.196, 00:00:00:00.014, 1, 447, 2.2806122, R, 1.00e+00, 3, 0.00000000000000000, 9.90000000000000000e+01, , 1111 1111 0111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 196
00:00:00:00.207, 00:00:00:00.006, 1, 523, 2.5265701, R, 1.00e+00, 6, 0.00000000000000000, 1.00000000000000000e+02, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 207
00:00:00:00.213, 00:00:00:00.000, 1, 525, 2.4647887, L, 0.00e+00, 0, 0.00000000000000000, 1.00000000000000000e+02, , 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 213
00:00:00:00.001, 00:00:00:00.000, 2, 1, 1.0000000, S, 0.00e+00, 0, 0.00000000000000000, 5.80000000000000000e+01, , 0001 0101 0011 1111 0111 1011 1011 0110 1011 1000 0101 1010 0110 1101 0110 0001 1111 1000 0111 1101 0100 0101 1101 1110 1010, Mon Apr 27 20:17:48 CST 2026, 1
00:00:00:00.005, 00:00:00:00.004, 2, 1, 0.2000000, R, 2.50e+01, 2, 0.00000000000000000, 6.30000000000000000e+01, , 0101 1101 0001 1111 0011 1111 1011 0111 1010 1010 0001 1010 0101 1101 1111 1001 1111 1111 0101 1101 1000 0111 1110 0010 1010, Mon Apr 27 20:17:48 CST 2026, 5
00:00:00:00.011, 00:00:00:00.000, 2, 3, 0.2727273, R, 2.70e+01, 2, 0.00000000000000000, 6.60000000000000000e+01, , 0101 0011 1001 0111 1011 1101 0010 0110 1010 1110 1111 1010 0100 1101 1111 1101 1111 0011 1001 1001 1110 0111 1111 0110 1111, Mon Apr 27 20:17:48 CST 2026, 11
00:00:00:00.015, 00:00:00:00.000, 2, 6, 0.4000000, M, 3.80e+01, 4, 0.06308198707939691, 6.80000000000000000e+01, , 0111 0110 0101 1111 0111 1011 1011 1100 1011 1000 0001 1011 1101 1101 1111 1100 1111 1111 0111 0101 0110 1111 1110 1110 0010, Mon Apr 27 20:17:48 CST 2026, 15
00:00:00:00.019, 00:00:00:00.000, 2, 7, 0.3684210, R, 2.80e+01, 10, 0.00000000000000000, 7.00000000000000000e+01, , 0111 0101 1001 1100 1011 1101 0011 0111 1011 1010 0101 1001 1110 1111 1111 1001 1111 1111 0101 0101 1110 1111 1110 0111 1011, Mon Apr 27 20:17:48 CST 2026, 19
00:00:00:00.026, 00:00:00:00.000, 2, 8, 0.3076923, M, 2.90e+01, 1, 0.01000000000000000, 7.10000000000000000e+01, , 0111 0010 1001 1111 0111 1011 0011 0100 1010 1110 1001 1011 0101 1111 1111 1111 1111 0111 1101 1001 1110 0111 1111 0111 0111, Mon Apr 27 20:17:48 CST 2026, 26
00:00:00:00.030, 00:00:00:00.000, 2, 9, 0.3000000, R, 1.60e+01, 2, 0.00000000000000000, 7.50000000000000000e+01, , 0111 0011 1001 1111 1111 1111 0011 0110 1011 1010 0101 1001 0111 1111 1111 1111 1111 1111 0101 1001 1110 1111 1110 0111 1011, Mon Apr 27 20:17:48 CST 2026, 30
00:00:00:00.033, 00:00:00:00.000, 2, 14, 0.4242424, M, 5.00e+00, 3, 0.04304374044523712, 7.60000000000000000e+01, , 0111 0011 1011 1111 1111 1111 0011 0111 1011 1010 0101 1001 0111 1111 1111 1011 1111 1111 0101 0011 1110 1111 1110 0111 1011, Mon Apr 27 20:17:48 CST 2026, 33
00:00:00:00.040, 00:00:00:00.001, 2, 23, 0.5750000, R, 1.50e+01, 12, 0.00000000000000000, 7.70000000000000000e+01, , 0111 1111 1011 1111 1111 0111 1011 0111 1011 1010 0111 0000 1111 1111 1111 1010 1111 1111 0101 1011 1111 0111 0111 0111 1010, Mon Apr 27 20:17:48 CST 2026, 40
00:00:00:00.044, 00:00:00:00.000, 2, 29, 0.6590909, R, 1.00e+00, 5, 0.00000000000000000, 7.80000000000000000e+01, , 0111 1111 1011 1111 1111 0111 1011 0111 1011 1010 0111 0000 1111 1111 1111 1110 1111 1111 0101 1011 1111 0111 0111 0111 1010, Mon Apr 27 20:17:48 CST 2026, 44
00:00:00:00.049, 00:00:00:00.000, 2, 31, 0.6326531, R, 3.00e+00, 2, 0.00000000000000000, 7.90000000000000000e+01, , 0111 1111 1011 1111 1111 1111 1011 0111 1011 1010 0111 0000 1111 1111 1111 1110 1111 1111 0101 1001 1111 0111 0111 0111 1110, Mon Apr 27 20:17:48 CST 2026, 49
00:00:00:00.054, 00:00:00:00.000, 2, 34, 0.6296296, M, 5.00e+00, 2, 0.02511612770301124, 8.00000000000000000e+01, , 0111 1111 1011 1111 1111 0111 1011 1111 1011 1010 0111 0000 1110 1111 1111 1110 1111 1111 0101 1011 1111 0111 1111 0111 1110, Mon Apr 27 20:17:48 CST 2026, 54
00:00:00:00.059, 00:00:00:00.000, 2, 38, 0.6440678, M, 1.00e+00, 1, 0.01000000000000000, 8.10000000000000000e+01, , 0111 1111 1011 1111 1111 0111 1111 1111 1011 1010 0111 0000 1110 1111 1111 1110 1111 1111 0101 1011 1111 0111 1111 0111 1110, Mon Apr 27 20:17:48 CST 2026, 59
00:00:00:00.064, 00:00:00:00.001, 2, 48, 0.7500000, M, 3.00e+00, 3, 0.04304374044523712, 8.20000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1010 0111 1000 1110 1111 1111 1110 1111 1111 0101 0011 1111 0111 1111 0111 1110, Mon Apr 27 20:17:48 CST 2026, 64
00:00:00:00.068, 00:00:00:00.000, 2, 49, 0.7205882, R, 1.00e+00, 3, 0.00000000000000000, 8.30000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1010 0111 1000 1110 1111 1111 1110 1111 1111 0101 1011 1111 0111 1111 0111 1110, Mon Apr 27 20:17:48 CST 2026, 68
00:00:00:00.072, 00:00:00:00.002, 2, 53, 0.7361111, R, 1.00e+00, 7, 0.00000000000000000, 8.40000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1010 0111 1000 1110 1111 1111 1110 1111 1111 0101 1011 1111 0111 1111 0111 1111, Mon Apr 27 20:17:48 CST 2026, 72
00:00:00:00.078, 00:00:00:00.001, 2, 59, 0.7564102, R, 1.00e+00, 5, 0.00000000000000000, 8.50000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1110 0111 1000 1110 1111 1111 1110 1111 1111 0101 1011 1111 0111 1111 0111 1111, Mon Apr 27 20:17:48 CST 2026, 78
00:00:00:00.083, 00:00:00:00.000, 2, 62, 0.7469879, M, 1.00e+00, 1, 0.01000000000000000, 8.60000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1110 0111 1000 1110 1111 1111 1110 1111 1111 0101 1111 1111 0111 1111 0111 1111, Mon Apr 27 20:17:48 CST 2026, 83
00:00:00:00.088, 00:00:00:00.001, 2, 70, 0.7954546, M, 3.00e+00, 2, 0.02511612770301124, 8.70000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1011 1011 1111 1111 1000 1110 1111 1111 1110 1111 1111 0101 1111 1111 0111 1111 0111 1111, Mon Apr 27 20:17:48 CST 2026, 88
00:00:00:00.094, 00:00:00:00.001, 2, 81, 0.8617021, R, 1.00e+00, 5, 0.00000000000000000, 8.80000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1111 1111 1000 1110 1111 1111 1110 1111 1111 0101 1111 1111 0111 1111 0111 1111, Mon Apr 27 20:17:48 CST 2026, 94
00:00:00:00.099, 00:00:00:00.000, 2, 85, 0.8585858, R, 1.00e+00, 6, 0.00000000000000000, 8.90000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1111 1111 1000 1110 1111 1111 1110 1111 1111 0101 1111 1111 1111 1111 0111 1111, Mon Apr 27 20:17:48 CST 2026, 99
00:00:00:00.110, 00:00:00:00.004, 2, 109, 0.9909091, R, 1.00e+00, 3, 0.00000000000000000, 9.00000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1111 1111 1001 1110 1111 1111 1110 1111 1111 0101 1111 1111 1111 1111 0111 1111, Mon Apr 27 20:17:48 CST 2026, 110
00:00:00:00.117, 00:00:00:00.004, 2, 138, 1.1794872, M, 1.00e+00, 2, 0.02511612770301124, 9.10000000000000000e+01, , 0111 1111 1111 1111 1111 0111 1111 1111 1011 1111 1111 1001 1110 1111 1111 1110 1111 1111 0101 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 117
00:00:00:00.123, 00:00:00:00.001, 2, 142, 1.1544715, M, 1.00e+00, 1, 0.01000000000000000, 9.20000000000000000e+01, , 0111 1111 1111 1111 1111 1111 1111 1111 1011 1111 1111 1001 1110 1111 1111 1110 1111 1111 0101 1111 1111 1111 1111 1111 1111, Mon Apr 27 20:17:48 CST 2026, 123
